title,link,category,id,duration,Tags
makeup13,https://www.douyin.com/video/6774603874452999436,makeup,6774603874452999436,57,look transformation
makeup14,https://www.douyin.com/video/7412100993208339724,makeup,7412100993208339724,37,"beginner's tutorial, ambience"
makeup15,https://www.douyin.com/video/7414786778755829001,makeup,7414786778755829001,9,"look transformation, Chinese tradition"
makeup16,https://www.douyin.com/video/7326495678803283236,makeup,7326495678803283236,51,look transformation
makeup17,https://www.douyin.com/video/7412972147770953012,makeup,7412972147770953012,8,"look transformation, ambience"
makeup18,https://www.douyin.com/video/7346532254539140406,makeup,7346532254539140406,16,"look sharing, look transformation"
makeup19,https://www.douyin.com/video/7265244674162462008,makeup,7265244674162462008,11,"look sharing, look transformation"
makeup20,https://www.douyin.com/video/6979173535281335552,makeup,6979173535281335552,45,"look sharing, look transformation"
painting1,https://www.douyin.com/video/7412132321899400486,painting,7412132321899400486,9,"fine arts, studio work"
painting2,https://www.douyin.com/video/7404528594539629875,painting,7404528594539629875,42,"fine arts, charcoal painting"
painting3,https://www.douyin.com/video/7375051152653569290,painting,7375051152653569290,30,"oil painting, artist"
painting4,https://www.douyin.com/video/7235427069923003682,painting,7235427069923003682,23,"oil painting, Landscape"
painting5,https://www.douyin.com/video/7406909188384869647,painting,7406909188384869647,25,Light and Shadow
painting6,https://www.douyin.com/video/7387275351543532827,painting,7387275351543532827,22,"Stick Figure, fine arts"
painting7,https://www.douyin.com/video/7401046958472842547,painting,7401046958472842547,33,"ipadpainting, procreate"
painting8,https://www.douyin.com/video/7358798535501892879,painting,7358798535501892879,19,"oil painting, Landscape"
painting9,https://www.douyin.com/video/7404281082574572841,painting,7404281082574572841,26,"Ink Painting, poetry"
painting10,https://www.douyin.com/video/7414798016768511258,painting,7414798016768511258,32,"artist, oil painting"
painting11,https://www.douyin.com/video/7182144389685333263,painting,7182144389685333263,58,"Oil pastels, birthdaygift"
painting12,https://www.douyin.com/video/7393528875310927141,painting,7393528875310927141,27,"doodle, Oil pastels, Sunset"
painting13,https://www.douyin.com/video/7397264040763936063,painting,7397264040763936063,13,"fine arts, studio work"
painting14,https://www.douyin.com/video/7330106610678779147,painting,7330106610678779147,28,Game Characters
painting15,https://www.douyin.com/video/7285923258812173580,painting,7285923258812173580,48,"Marker pen, Drawing Blocks"
painting16,https://www.douyin.com/video/7399955025654582554,painting,7399955025654582554,23,Figure painting
painting17,https://www.douyin.com/video/6823612881993551118,painting,6823612881993551118,50,"Oil pastels, beginner's tutorial"
painting18,https://www.douyin.com/video/7406000748661722394,painting,7406000748661722394,44,"sketch, Figure painting"
painting19,https://www.douyin.com/video/7414871353490246927,painting,7414871353490246927,16,"Stick Figure, comics"
painting20,https://www.douyin.com/video/7397591104687738127,painting,7397591104687738127,33,"fine arts, Figure painting, charcoal painting"
pets1,https://www.douyin.com/video/7396362180116958464,pets,7396362180116958464,10,"cat, LovelyMoments"
pets2,https://www.douyin.com/video/7411392713012022578,pets,7411392713012022578,19,"dog, Corgi, cute pets"
pets3,https://www.douyin.com/video/7435105771433561380,pets,7435105771433561380,14,"dog, cat, cute pets, funny"
pets4,https://www.douyin.com/video/7405211544545463561,pets,7405211544545463561,13,"dog, Golden retriever, Healing Moment"
pets5,https://www.douyin.com/video/7341716539936165183,pets,7341716539936165183,13,"cat, dog, Gold gradient, cute pets"
pets6,https://www.douyin.com/video/7418888622910360870,pets,7418888622910360870,7,"piggy, cute pets, babby"
pets7,https://www.douyin.com/video/7454660597209222436,pets,7454660597209222436,15,"dog, food, funny"
pets8,https://www.douyin.com/video/7386269326396984595,pets,7386269326396984595,12,"cute pets, dog"
pets9,https://www.douyin.com/video/7394000201842740506,pets,7394000201842740506,12,"cat, LovelyMoments"
pets10,https://www.douyin.com/video/7438601162888088889,pets,7438601162888088889,9,"cat, funny"
pets11,https://www.douyin.com/video/7442974023362874675,pets,7442974023362874675,10,"cat, cute pets"
pets12,https://www.douyin.com/video/7414189786946080034,pets,7414189786946080034,25,"cat, confusing behavior"
pets13,https://www.douyin.com/video/7403946355007180070,pets,7403946355007180070,20,"dog, Alaska, babby"
